S#,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
197,Coffee shop police killings,"Parkland, Washington",11/29/2009,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",4,1,5,Yes,black,Male,47.155846,-122.437031
198,Parkland Coffee Shop,"Lakewood, Washington",11/29/2009,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.",5,0,4,Yes,Black American or African American,Male,47.16267579,-122.5296574
199,Fort Hood Army Base,"Fort Hood, Texas",11/5/2009,"On November 5, 2009, a 39-year old U.S. Army psychiatrist fatally shot thirteen people and injured thirty-two at Fort Hood Army Base located in Killeen, Texas. He was shot and wounded by another soldier and arrested as he fell unconscious.",13,32,45,Yes,White American or European American,Male,31.13814354,-97.77797804
200,Binghamton shootings,"Binghamton, New York",4/3/2009,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide.",14,4,18,Yes,Asian,Male,42.0986867,-75.9179738
201,Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer.",8,3,11,Yes,white,Male,35.345802,-79.4170543
202,"Rivermark, Santa Clara, California","Santa Clara, California",3/29/2009,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.",6,1,6,No,Asian American,Male,37.36463172,-121.9679315
203,Pinelake Health and Rehab nursing home,"Carthage, North Carolina",3/29/2009,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.",8,2,10,Yes,White American or European American,Male,35.33985609,-79.41381725
204,"Geneva County, Alabama","Geneva, Alabama",3/10/2009,"On March 10, 2009, a 28-year-old grocery worker in Geneva County, Alabama went to his mother's home to kill her and her three dogs before setting the house on fire. He then went to his uncle's house, killing him, two of his cousins, two neighbors and wounded an aunt and an infant neighbor. He then went next-door and killed his grandmother before fleeing the scene. He killed three passers by and shot at anyone trying to flee or stop him. In total, ten were killed and six were wounded. He committed suicide as police attempted to detain him.",11,6,16,No,White American or European American,Male,31.04367594,-85.8763466
205,"Covina, California","Covina, California",12/24/2008,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.",10,2,11,No,White American or European American,Male,34.09026669,-117.8819958
206,University of Central Arkansas,"Conway, Arkansas",10/26/2008,"On October 26, 2008, four men between the ages of 19 and 20 arrived at a dormitory at the University of Central Arkansas in Conway, Arkansas and began shooting. The shooters killed two students and wounded a visitor before being arrested.",0,1,3,No,Black American or African American,Male,35.08130744,-92.43278275
207,South Mountain Community College,"Phoenix, Arizona",7/24/2008,"On July 24, 2008, a 24-year-old man arrived at the South Mountain Community College in Phoenix, Arizona. He began shooting at two men who had hospitalized him seven months prior and a third was wounded in the incident before the shooter was arrested. No fatalities resulted from the shooting.",0,3,3,No,Black American or African American,Male,33.57145875,-112.0904854
208,Atlantis Plastics,"Henderson, Kentucky",6/25/2008,"On June 25, 2008, a 25-year-old factory worker at Atlantis Plastics in Henderson, Kentucky had been reprimanded by a supervisor and escorted out of his workplace. He returned with a gun and began shooting, killing his supervisor, five employees and wounded a sixth before committing suicide.",7,1,7,No,White American or European American,Male,37.84040411,-87.57853755
209,Northern Illinois University shooting,"DeKalb, Illinois",2/14/2008,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,Yes,white,Male,41.9294736,-88.7503647
210,Kirkwood City Hall,"Kirkwood, Missouri",2/7/2008,"On February 7, 2008, a 52-year-old construction worker entered the City Hall building in Kirkwood, Missouri and opened fire on a police officer, taking the officer's gun and continuing on to the commencing city council meeting. He began shooting at the council members and reporters, killing five and wounding two others before being killed by police. The mayor suffered wounds that he died from several months later.",6,2,7,No,Black American or African American,Male,38.57889169,-90.42023754
211,"Carnation, Washington","Carnation, Washington",12/24/2007,"On December 24, 2007, an unemployed woman and her boyfriend, both aged 29, shot the woman's father in regards to a financial dispute in his home in Carnation, Washington. The couple then shot the woman's mother before her brother, his wife and children arrived, upon which the couple shot and killed all four. They were later arrested in the home.",6,0,6,No,White American or European American,Male/Female,47.64628742,-121.9088524
212,Mojave High School Bus,"Las Vegas, Nevada",12/11/2007,"On December 11, 2007, an 18-year-old high school drop out of Mojave High School in Las Vegas, Nevada arrived at a school bus stop where he planned an encounter with a student who had bumped into him the day before. He then began shooting at the student and others, wounding six before fleeing the scene. The shooter was arrested in Denver, CO after the police received a tip that he was on a bus to Chicago.",0,6,6,No,Black American or African American,Male,36.18931923,-115.3264875
213,Youth With A Mission and New Life Church,"Arvada, Colorado",12/9/2007,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",5,5,9,No,White American or European American,Male,39.81087474,-105.173715
214,Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide.",9,4,13,Yes,white,Male,41.2587317,-95.9378732
215,South Middle School Football Game,"Saginaw, Michigan",10/25/2007,"On October 25, 2007, a 15-year-old student arrived at a football game at South Middle School in Saginaw, Michigan looking for his brother. He then ran into other students with which he had an ongoing confrontation and began shooting, wounding four before fleeing the scene. He was later arrested and charged with assault with intent to murder",0,4,4,No,Black American or African American,Male,43.41929117,-83.95032759
216,SuccessTech Academy,"Cleveland, Ohio",10/11/2007,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide. ",1,4,4,Yes,White American or European American,Male,41.47657557,-81.68051502
217,Crandon shooting,"Crandon, Wisconsin",10/7/2007,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide.",6,1,7,Unclear,white,Male,45.5719072,-88.9028922
218,Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,Yes,Asian,Male,37.2295733,-80.4139393
219,Springwater Trail High School,"Gresham, Oregon",4/10/2007,"On April 10, 2007, a 15-year-old student of Springwater Trail High School in Gresham, Oregon arrived to his school and began shooting at his classmates. He wounded ten and killed none before being arrested.",0,10,10,No,Some other race,Male,45.50216511,-122.4412759
220,Trolley Square,"Salt Lake City, Utah",2/12/2007,"On February 12, 2007, an 18-year-old refugee and high school drop out in Salt Lake City, Utah arrived at Trolley Square and began shooting at the crowd. He killed five and wounded four others before being shot and killed by police. The incident was thought to be an attack of religious radicalism.",6,4,9,Unknown,White American or European American,Male,40.77787404,-111.9312168
221,Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,No,white,Male,39.9589,-76.0806
222,West Nickel Mines Amish School,"Nickel Mines, Lancaster, Pennsylvania",10/2/2006,"On October 2, 2006, a 32-year old men killed five schoolgirls and seriously wounded five others in West Nickel Amish School in Nickel Mines, Pennsylvania before taking his own life. Before the shooting, the gunman separated the students by gender and age, letting go males and adults before locking the school. He ended up committing suicide before police broke into the school.",6,5,10,Unknown,White American or European American,Male,40.04214385,-76.30100872
223,Duquesne University,"Pittsburgh, Pennsylvania",9/17/2006,"On September 17, 2006, two 18-year old men shot at five Duquesne University basketball players after a school dance. Several players said the shooter was a non-student unhappy that the woman he accompanied to the dance had talked with a player. The shooter and at least one other man followed the players when they left the dance to walk to their dormitory. Both man were later identified and arrested.",0,5,5,Unknown,Black American or African American,Male,40.43948548,-79.97631581
224,Orange High School,"Hillsborough, North Carolina",8/30/2006,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.",1,2,3,Yes,Some other race,Male,36.04099857,-79.09701201
225,Essex Elementary School,"Essex Junction, Vermont",8/24/2006,"On August 24, 2006, a 26-year old killed two people and wounded two others in a shooting rampage that began at his ex-girlfriend's home  in Essex Junction, Vermont and continued at the elementary school where she worked. Afterward, the shooter went to his friend's house to get more ammunition for the gun he had borrowed from him and shot his friend. He then try to commit suicide by shooting himself twice in the head, but he survived.",2,2,4,Yes,Black American or African American,Male,44.49022039,-73.11400628
226,Capitol Hill massacre,"Seattle, Washington",3/25/2006,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide.",7,2,9,No,white,Male,47.6229,-122.3165
227,Goleta Post Office,"Goleta, California",1/30/2006,"On January 30, 2006, a 44-year-old postal worker on leave for psychological reasons killed her former neighbor before arriving to the Goleta Post Office where she worked in Goleta, California. She then opened fire on her coworkers, killing six before committing suicide.",8,0,7,Yes,White American or European American,Female,34.43606107,-119.8593619
228,Red Lake High School,"Red Lake, Minnesota",3/21/2005,"On March 21, 2005, after killing his grandfather and his grandfather's girlfriend in their home, a 16-year-old student of Red Lake High School in Red Lake, Minnesota arrived on campus and began shooting at his classmates and teachers. He killed five students, a teacher, a security guard and wounded five others before committing suicide.",10,5,14,Yes,Native American or Alaska Native,Male,47.87067289,-95.00529009
229,Living Church of God,"Brookfield, Wisconsin",3/12/2005,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.",8,4,11,No,White American or European American,Male,43.06396691,-88.12299758
230,Tyler Courthouse,"Tyler, Texas",2/24/2005,"On February 24, 2005, a 43-year old man opened fire on his ex-wife and son in front of the Smith County Courthouse inTyler, Texas. After wounding three law enforcement officers and killing another civilian, the gunman was killed in a gun battle with officers. The shooter was being sued for unpaid child support. ",3,4,6,Unknown,Some other race,Male,32.3154272,-95.30501087
231,Damageplan show at the Alrosa Villa Nightclub,"Columbus, Ohio",12/8/2004,"On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.",5,7,11,Yes,White American or European American,Male,39.98861445,-82.98904135
232,"Birchwood, Wisconsin","Birchwood, Wisconsin",11/21/2004,"On November 21, 2004, a 36-year-old man hunting with companions in the forests of Birchwood, Wisconsin, encountered a group of hunters and began arguing with them over a deer stand that had apparently been on private land. He then opened fire on the hunters as a result of the confrontation, killing six and wounding two others before being arrested five hours later.",6,2,8,No,Asian American,Male,45.65773714,-91.55077175
233,Windy City Core Supply Warehouse,"Chicago, Illinois",8/27/2003,"On August 27, 2003, a 36-year-old former employee of Windy City Core Supply in Chicago, Illinois arrived at the warehouse in which he used to work and began shooting at the supervisors that fired him and other coworkers, killing six. He was later killed in a shoot-out with the police.",7,0,6,No,Some other race,Male,41.83928045,-87.68818145
234,Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,Yes,white,Male,32.376081,-88.68978002
235,Case Western Reserve University,"Cleveland, Ohio",5/9/2003,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",1,2,3,No,Asian American,Male,41.47657557,-81.68051502
236,University of Arizona College of Nursing,"Tucson, Arizona",10/28/2002,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,No,Some other race,Male,32.15358905,-110.9677647
237,Appalachian School of Law,"Grundy, Virginia",1/16/2002,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,No,Black American or African American,Male,37.27537712,-82.09877234
238,Santana High School,"Santee, San Diego, California",3/5/2001,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,No,White American or European American,Male,32.86357277,-117.1281628
239,Navistar International,"Melrose Park, Illinois",2/5/2001,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,No,Black American or African American,Male,41.90289602,-87.8643021
240,Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,Yes,white,Male,42.506484,-71.0728306
241,Radisson Bay Harbor Inn,"Tampa, Florida",12/30/1999,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,No,Some other race,Male,27.99601861,-82.44503769
242,Fort Gibson Middle School,"Fort Gibson, Oklahoma",12/6/1999,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,No,White American or European American,Male,35.77669911,-95.25996596
243,Xerox killings,"Honolulu, Hawaii",11/2/1999,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,Yes,Asian,Male,21.3255125,-157.8473055
244,Wedgwood Baptist Church,"Fort Worth, Texas",9/15/1999,"On September 15,1999, a 47-year-old man entered the Wedgwood Baptist Church in Fort Worth, Texas during a prayer rally and began shooting, killing seven and wounding seven others before killing himself.",8,7,14,Yes,White American or European American,Male,32.74802142,-97.31305148
245,Offices of All-Tech Investment Group and Momentum Securities,"Atlanta, Georgia",7/29/1999,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station. ",10,12,21,Yes,White American or European American,Male,33.7629969,-84.4231328
246,Heritage High School,"Conyers, Georgia",5/20/1999,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",0,6,6,No,White American or European American,Male,33.66086267,-84.02688527
247,Columbine High School,"Littleton, Colorado",4/20/1999,"On April 20, 1999, two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",15,24,37,Yes,White American or European American,Male,39.59358263,-105.0152112
248,Riverside City Hall,"Riverside, California",10/6/1998,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",0,6,6,No,Black American or African American,Male,33.93814348,-117.3948409
249,Thurston High School,"Springfield, Oregon",5/21/1998,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",4,25,29,Yes,White American or European American,Male,44.05489698,-123.0075562
250,Parker Middle School Dance,"Edinboro, Pennsylvania",4/24/1998,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",1,3,4,Yes,White American or European American,Male,41.87617136,-80.12459632
251,Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,No,white,Male,35.8209895,-90.6682606
252,Connecticut State Lottery Headquarters,"Newington, Connecticut",3/6/1998,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.",5,0,4,Yes,White American or European American,Male,41.68700845,-72.73083927
253,Milwaukee Post Office,"Milwaukee, Wisconsin",12/19/1997,"On December 19, 1997, a 37-year-old postal worker in Milwaukee, Wisconsin began shooting at the post office where he was employed. He shot and killed a coworker and wounded his supervisor and another coworker before committing suicide.",2,2,3,No,Black American or African American,Male,43.06420322,-87.96724385
254,Caltrans Maintenance Yard,"Orange, California",12/18/1997,"On December 18, 1997, a 41-year-old recently fired Caltrans employee arrived to his former office and began shooting at his former coworkers and supervisors. He killed four employees and wounded another and a police officer before being killed by police.",5,2,6,No,Some other race,Male,33.78935598,-117.820412
255,Heath High School,"West Paducah, Kentucky",12/1/1997,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",3,5,8,Yes,White American or European American,Male,37.08506,-88.74422
256,Pearl High School,"Pearl, Mississippi",10/1/1997,"On October 1, 1997, a 16-year-old student of Pearl High School in Pearl, Mississippi stabbed his mother to death before heading to school. Once there, he shot and killed his ex-girlfriend and her friend before wounding an additional seven other students. He was stopped while fleeing the incident by a principal with a handgun and was arrested.",2,7,9,Yes,White American or European American,Male,32.27492783,-90.09470655
257,R.E. Phelon Company,"Aiken, South Carolina",9/15/1997,"On September 15, 1997, a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.",4,3,7,No,Black American or African American,Male,33.47524551,-81.72595949
258,Bethel Regional High School,"Bethel, Alaska",2/19/1997,"On February 19, 1997, a 16-year-old student at Bethel Regional High School in Bethel, Alaska arrived on campus and shot a popular student, killing him. He later shot and killed the school's principal and wounded two others before being arrested.",2,2,4,Yes,White American or European American,Male,60.79053882,-161.7927517
259,San Diego State University,"San Diego, California",8/15/1996,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",3,0,3,No,White American or European American,Male,32.86357277,-117.1281628
260,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Yes,black,Male,26.1223084,-80.1433786
261,Frontier Junior High School,"Moses Lake, Washington",2/2/1996,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",3,1,4,Yes,White American or European American,Male,47.12189424,-119.2750699
262,Richland High School,"Lynnville, Tennessee",11/15/1995,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",2,1,3,Yes,White American or European American,Male,35.37810374,-87.00610559
263,Walter Rossler Company,"Corpus Christi, Texas",4/3/1995,"On April 3, 1995, a disgruntled former metallurgist of the Walter Rossler Company in Corpus Christi, Texas entered the office and began shooting. He killed three employees, the owner and his wife before killing himself in another room.",6,0,5,No,Unknown,Male,27.73907518,-97.43073352
264,Montclair Post Office,"Montclair, New Jersey",3/21/1995,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",4,1,5,No,White American or European American,Male,40.826184,-74.20862
265,Downtown Chapel Hill,"Chapel Hill, North Carolina",1/26/1995,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",2,2,4,Yes,White American or European American,Male,35.92681467,-79.03850407
266,Massachusetts Abortion Clinic,"Brookline, Massachusetts",12/30/1994,"On December 30, 1994 a man entered a Planned Parenthood clinic, shot and killed the receptionist, and opened fire in the clinic, wounding three others. Several minutes later he entered a Preterm Health Services clinic and shot three people, killing one. ",2,5,7,Yes,White American or European American,Male,42.32427392,-71.14080012
267,Wickliffe Middle School,"Wickliffe, Ohio",11/7/1994,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",1,3,4,Yes,White American or European American,Male,41.60713735,-81.46902046
268,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",6/20/1994,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",5,23,27,Yes,White American or European American,Male,47.618456,-117.644099
269,"Residence in Union, Kentucky","Union, Kentucky",5/26/1994,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",4,0,4,No,White American or European American,Male,38.95130818,-84.67066339
270,Chelsea High School,"Chelsea, Michigan",12/16/1993,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",1,2,3,Yes,White American or European American,Male,42.31319376,-84.01868108
271,Chuck E. Cheese in Aurora,"Aurora, Colorado",12/14/1993,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",4,1,5,Yes,Black American or African American,Male,39.69892933,-104.7871863
272,Long Island Rail Road Commuter Train,"Garden City, New York",12/7/1993,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",6,19,25,No,Black American or African American,Male,40.72662266,-73.644712
273,Central Middle School,"Sheridan, Wyoming",9/17/1993,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",1,4,4,No,White American or European American,Male,44.79051074,-106.9599165
274,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",8/6/1993,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",4,8,12,No,White American or European American,Male,35.07997086,-79.03796125
275,Weber State University,"Ogden, Utah",7/8/1993,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",1,3,3,No,Asian American,Male,41.2281367,-111.9675317
276,Offices of Pettit & Martin in San Francisco,"San Francisco, California",7/1/1993,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",9,6,14,No,White American or European American,Male,37.75457839,-122.4424343
277,Dearborn Post Office,"Dearborn, Michigan",5/6/1993,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",2,2,3,Unknown,Unknown,Male,42.31269522,-83.21293244
278,Dana Point Post Office,"Dana Point, California",5/6/1993,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",1,5,6,Yes,White American or European American,Male,33.47316083,-117.696399
279,Simon's Rock College of Bard,"Great Barrington, Massachusetts",12/14/1992,"On December 14, 1992, an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",2,4,6,No,Asian American,Male,42.19358268,-73.36216339
280,Schuyler County Office Building,"Watkins Glen, New York",10/15/1992,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.",5,0,4,No,White American or European American,Male,42.38013875,-76.86724659
281,Palo Duro High School,"Amarillo, Texas",9/11/1992,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",0,6,6,Unknown,Unknown,Male,35.18322484,-101.8805688
282,Lindhurst High School,"Olivehurst, California",5/1/1992,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested. ",4,10,14,Yes,White American or European American,Male,39.08174985,-121.5549539
283,Royal Oak Post Office,"Royal Oak, Michigan",11/14/1991,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.",5,5,9,Yes,White American or European American,Male,42.50840203,-83.15387427
284,University of Iowa,"Iowa City, Iowa",11/1/1991,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.",6,1,6,No,Asian American,Male,41.65589405,-91.53117986
